recipe_urls,recipe_name,ingredients
https://www.jamieoliver.com/recipes/duck-recipes/roast-duck-with-marsala-gravy/,Roast duck with Marsala gravy,"['duck', 'chinese five', 'clementine', 'gravy', 'carrot', 'onion', 'flour', 'marsala', 'chicken stock']"
https://www.jamieoliver.com/recipes/vegetable-recipes/best-ever-brussels-sprouts/,Best-ever Brussels sprouts,"['brussels sprout', 'cumberland sausage', 'butter', 'onion', 'eating apple']"
https://www.jamieoliver.com/recipes/pasta-recipes/beautiful-courgette-penne-carbonara/,Beautiful courgette carbonara,"['courgette', 'penne', 'egg', 'single cream', 'parmesan cheese', 'back bacon', 'courgette flower']"
https://www.jamieoliver.com/recipes/vegetable-recipes/roasted-black-bean-burgers/,Roasted black bean burgers,"['onion', 'mushroom', 'rye bread', 'bean', 'mature cheddar cheese', 'roll', 'tomato', 'lime', 'chipotle tabasco', 'mango', 'avocado', 'yoghurt']"
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-tofu-noodle-soup/,Chicken & tofu noodle soup,"['shallot', 'chicken thigh', 'sesame', 'star', 'soy', 'rice noodle', 'tofu', 'onion', 'spinach', 'seaweed nori sheet', 'lime']"
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-katsu-curry/,Chicken katsu curry,"['chicken breast', 'buttermilk', 'curry', 'panko', 'mug rice', 'creamed coconut', 'vegetable', 'onion', 'carrot', 'each masala curry', 'flour', 'mango chutney', 'pickle', 'onion', 'lemon']"
https://www.jamieoliver.com/recipes/salmon-recipes/roasted-salmon-artichokes/,Roasted salmon & artichokes,"['side salmon', 'blanched', 'lemon', 'stale ciabatta', 'artichoke', 'artichoke heart', 'bacon']"
https://www.jamieoliver.com/recipes/pasta-recipes/cracker-ravioli/,Cracker ravioli,"['butternut squash', 'ricotta cheese', 'vac', 'parmesan cheese', 'pasta', 'royal pasta dough', 'spinach', 'semolina', 'butter', 'butter', 'clementine']"
https://www.jamieoliver.com/recipes/vegetable-recipes/black-bean-burgers/,Black bean burgers,"['onion', 'onion', 'bean', 'lemon', 'yoghurt', 'kale', 'beef tomato', 'mozzarella cheese', 'wholemeal bun']"
https://www.jamieoliver.com/recipes/eggs-recipes/spanish-tortilla/,Spanish tortilla,"['waxy potato', 'onion', 'egg']"
